,title,author_info,rating,pros,cons,helpful
36,Good Experience for Interns,"Nov 12, 2021 - Internship",4.0,A lot of projects to do,The company is big and can be overwhelming at first,Be the first to find this review helpful
37,Review,"Oct 26, 2021 - SERVICE ADVISOR in Stoke-on-Trent, England",5.0,Friendly people To work with Good wages,Work pressure from customer’s satisfaction,1 person found this review helpful
38,Happy,"Oct 28, 2021 - Sales Associate in Rickmansworth, England",5.0,Cars and the people I worked with,Being made redundant was my,Be the first to find this review helpful
39,"Good company, Bad Manegers","Nov 10, 2021 - Cost Accountant in Cholula, Puebla",4.0,Benefits. Rental car. Christmas bonus. Profit shares.,Manager very old mind fashion,Be the first to find this review helpful
40,okay,"Oct 12, 2021 - Konstrukteur und Entwicklungsingenieur in Braunschweig",5.0,"Gehalt, Betriebsrente, Sonderzahlungen, Altersteilzeit, 35 Stundenwoche",es gibt zu viele Streber,Be the first to find this review helpful
41,Great company!!,"Oct 5, 2021 - Anonymous Employee",5.0,Excellent international company. Great benefits.,Sometimes work becomes a bit bureaucratic,Be the first to find this review helpful
42,n/a,"Oct 5, 2021 - Designer in Hyderābād",5.0,good better excellent is was,nothing is downside over there,Be the first to find this review helpful
43,Great employer,"Nov 29, 2021 - Mechanical Engineer in Lisbon, Lisbon",4.0,Great employer with great challenges,there are no cons in VW,Be the first to find this review helpful
44,Overall Nice Place to Work,"Oct 29, 2021 - Senior Product Analyst in São Bernardo do Campo",4.0,Nice to learn about corporate and professional relations Great place to build a relevant network Job stability,Bureaucratic and slow decision-making company No meritocracy plan to recognize employees Professional opportunities are not clearly shared Competitive salaries have been decreasing steadily in the last years,Be the first to find this review helpful
45,great people to work with.,"Nov 15, 2021 - Receptionist",4.0,Great people to work with. Great environment.,They overwork their employees and demand a lot for what they compensate.,Be the first to find this review helpful
46,Work shop manager,"Sep 14, 2021 - Workshop Manager in Cairo, Cairo Governorate",5.0,Work with team Response for all work shop,There is no nagtive points,Be the first to find this review helpful
47,Good Experience for Interns,"Nov 12, 2021 - Internship",4.0,A lot of projects to do,The company is big and can be overwhelming at first,Be the first to find this review helpful
48,no,"Nov 18, 2021 - Credit Analyst in Pune",4.0,it is nice company nice reputation,it is not a good managment,Be the first to find this review helpful
49,"Good company, Bad Manegers","Nov 10, 2021 - Cost Accountant in Cholula, Puebla",4.0,Benefits. Rental car. Christmas bonus. Profit shares.,Manager very old mind fashion,Be the first to find this review helpful
50,Excellent community environment,"Sep 16, 2021 - Receptionist",5.0,Great progression. Amazing team and management.,Minimum wage and working weekends,Be the first to find this review helpful
51,Very good,"Sep 18, 2021 - Visual Researcher in Frankfurt am Main",5.0,So good to work here,There is nothing to complain,Be the first to find this review helpful
52,Great fake review,"Sep 13, 2021 - Zero Hour Teller in Munich, Bavaria",5.0,Great place to post okay,None none none none nonee,Be the first to find this review helpful
53,The square root of the number of employees do 50% of the work.,"Aug 7, 2021 - Planer in Braunschweig",3.0,"The company provides many benefits, good salary, has a strong reputation and employment seems to be quite secure. There also seems to be a lot of opportunity across the company's many locations.","Not an international working environment with a very German approach; integration of foreign employees given no consideration; and, support from HR is poor with blunt, useless responses.",Be the first to find this review helpful
54,Fine talent,"Sep 6, 2021 - Senior Officer",5.0,Good place to work Value for your views and opinions,Average salary Responsibility is much,Be the first to find this review helpful
55,Environment,"Sep 6, 2021 - Instrumentation Engineer in Pune",5.0,"Good work culture, Seniors are very helpful",No cons because everything is fantastic,Be the first to find this review helpful
56,Good Experience,"Nov 9, 2021 - Product Manager in Berlin",3.0,"International culture, good people, and interesting industry.","Bureaucracy, corporate culture and slow processes.",Be the first to find this review helpful
57,good work experince NA,"Sep 2, 2021 - Anonymous Employee in Pune",5.0,good work experince N A,location Far from the major pune,Be the first to find this review helpful
58,Social responsible and family friendly,"Apr 8, 2021 - Technical Project Manager (Software Engineering) in Wolfsburg, Lower Saxony",3.0,Remote office work possible. Very family friendly. Most of colleagues in Germany are very good colleagues. Very strong workers' union.,"There are 20% old fashioned macho types which still have the old german mentality (from before 1979) which think women are below them. These discriminating bullies are still around, also destructive people from the old management culture, which brought the company to its knees, and with their attitude they destroy the team spirit and demotivate the surrounding team. When these people are managers, they are there for their own gain; they change the position a lot. Although there are also good ones who care for their employees.",1 person found this review helpful
59,ok,"Aug 23, 2021 - NVH CAE Engineer in São Paulo, São Paulo",5.0,good oportunities nice infrastructure access to development,Salary is difficult to change( have upgrade) and difficult to get a promotion,Be the first to find this review helpful
60,Volkswagen of Freehold,"Oct 7, 2015 - Cashier/Receptionist in Freehold, NJ",1.0,"Work was easy, night shift barely anything to do","Hours, No vacation time, management at the time was awful",Be the first to find this review helpful
61,Compliance,"May 18, 2018 - NONE in Herndon, VA",1.0,Friendly staff and good hours,Completely white male dominated and no upward mobility,1 person found this review helpful
62,dont do it!!!,"Oct 5, 2016 - Sales Representative in Dothan, AL",1.0,can be decent money if you're good at prospecting,LONG HOURS COMPLETELY COMMISSION BASED DISHONEST PRACTICES,Be the first to find this review helpful
63,Great Work Culture & Team,"Mar 14, 2022 - CHIEF MANAGER in Mumbai",5.0,Have experienced a good working culture over there ; Amazing co workers,Honestly there is nothing to comment upon the Cons,Be the first to find this review helpful
64,Ok,"Mar 18, 2022 - Quality Engineer in Bratislava",3.0,"13, 14 salary Green koncern Modern offices Flexible hours at my place","Too many byrocracy, too long Not stable place, racios Too little people, minimum hiring Lots of micromanagement",Be the first to find this review helpful
65,perfect,"Mar 8, 2022 - Graduate Student",5.0,home office is a really good option and flexible work time,too much work at the beginning,Be the first to find this review helpful
66,Great company,"Mar 9, 2022 - Sales Executive in Cardiff, Wales",5.0,good pay and management structure,dont have any cons to talk about,Be the first to find this review helpful
67,"Really nice working environment, topics and young people","Mar 3, 2022 - Werkstudent Data Scientist",5.0,--> Nice working environment --> Very interesting topics & projects,Not really any cons apart from typical paper work at big companies,Be the first to find this review helpful
68,Good working environment with nice team,"Mar 18, 2022 - Senior Analyst in Beijing, Beijing",4.0,"Good work life balance, nice team, many learning opportunities",Slow decision-making process; limited chance for rotation,Be the first to find this review helpful
69,Best employer,"Mar 2, 2022 - Project Manager Systems Verification",5.0,Perfect place to work ever,Nothing much to really highlight,Be the first to find this review helpful
70,good,"Feb 17, 2022 - Anonymous Employee",5.0,good workplace environment and friendly,mandatory unpaid overtime which is not great,Be the first to find this review helpful
71,Owner of Product in company and market,"Mar 7, 2022 - Senior Product Manager in Pune",4.0,"Right processes, optimum opportunity, respect for work and values culture","Lobby inside, disproportionate selective growth,",Be the first to find this review helpful
72,It was good,"Mar 11, 2022 - Product Specialist",4.0,Great product and nice perks,Customers don’t like car sales people,Be the first to find this review helpful
73,Projekt ma,"Mar 10, 2022 - Project Manager",3.0,The company use many additional tools,It have too much hierarchy,Be the first to find this review helpful
74,VG BA,"Feb 10, 2022 - Business Analyst in Bedok New Town,",5.0,High exposures and Good benefits,too tired too tired too tired,Be the first to find this review helpful
75,Supervisor,"Mar 2, 2022 - Supervisor in São Paulo, São Paulo",3.0,Good company lots of opportunity,Too much politics in the company,Be the first to find this review helpful
76,VW Shanghai,"Feb 22, 2022 - Engineer",4.0,"Good work life balance, not very busy","Slow salary increase, slow promotion",Be the first to find this review helpful
77,Assembly planning specialist,"Feb 26, 2022 - Planning Specialist in Bratislava",3.0,"big projects, creative work, flexible worktime",lots of stress and pressure,Be the first to find this review helpful
78,Great place to work,"Jan 15, 2022 - Receptionist",5.0,"Flexible scheduling, great coworkers, brand you can be proud about.",Customers are usually difficult to deal with.,Be the first to find this review helpful
79,Good Company,"Jan 19, 2022 - Anonymous Employee",5.0,"Good culture, people are friendly and polite.","Not very transparent, a lot of pressure",Be the first to find this review helpful
80,VWSA,"Dec 15, 2021 - Senior Team LEader in Port Elizabeth",4.0,good working climate and many perks,"long hours and overtime, structure of global corporation",Be the first to find this review helpful
81,stable and giant company,"Dec 14, 2021 - Logistics Manager in Shanghai, Shanghai",4.0,good pay for the young staff,lack of opportunity to promotion,Be the first to find this review helpful
82,Good,"Dec 12, 2021 - Product Manager in Milton Keynes, England",4.0,Development Opportunities & desirable brand / product,Old fashioned culture & Renumeration,Be the first to find this review helpful
83,good company,"Nov 25, 2021 - Manager in Coventry, England",5.0,"I like this company, good leader.",I dont like the food in the company,Be the first to find this review helpful
84,Senior Manager,"Nov 24, 2021 - Anonymous Employee in Pune",5.0,Good worklife balance and good culture,Bad middle management and delay in decision,Be the first to find this review helpful
85,Enjoyable,"Nov 23, 2021 - Administrative Assistant",5.0,"Professional environment, great work life balance",Nothing that comes to my mind,Be the first to find this review helpful
86,How does it feel like,"Nov 15, 2021 - Supply Chain Manager in Beijing, Beijing",5.0,- good culture - nice people - clear career path,growth in salary is slow,Be the first to find this review helpful
87,Great employer,"Nov 29, 2021 - Mechanical Engineer in Lisbon, Lisbon",4.0,Great employer with great challenges,there are no cons in VW,Be the first to find this review helpful
88,Nice place to wirk,"Nov 26, 2021 - Digital Marketing Manager in Dublin, Dublin",4.0,"Nice team culture, good exposure to a well known brand","Salaries not great, progression only happens to the lucky few",1 person found this review helpful
89,Excellent company,"Nov 14, 2021 - Software Engineer in Pune",5.0,Best company to join anytime,Nothing but expetation to develop new things are high,Be the first to find this review helpful
90,Company that appreciates its employees,"Nov 9, 2021 - Automotive Sales in Sydney",5.0,Good working environment with the-best-value-for-money product,Work on the weekends and holidays,Be the first to find this review helpful
91,Wonderful Company,"Nov 9, 2021 - Intern in Wolfsburg, Lower Saxony",5.0,"Location, Global Company, Colleagues, Work and Transparent recruiting",Nothing to write here. As everything was perfect.,Be the first to find this review helpful
92,Salary,"Nov 9, 2021 - Car Salesman in Kildare",5.0,Good commission and nice cars,Long hours and challenging targets,Be the first to find this review helpful
93,no,"Nov 18, 2021 - Credit Analyst in Pune",4.0,it is nice company nice reputation,it is not a good managment,Be the first to find this review helpful
94,Great Opportunity!,"Nov 1, 2021 - Internship in Taipei",5.0,Learn a lot from an international company's views. project planning hr operation,a little bit too stressful,Be the first to find this review helpful
95,great people to work with.,"Nov 15, 2021 - Receptionist",4.0,Great people to work with. Great environment.,They overwork their employees and demand a lot for what they compensate.,Be the first to find this review helpful
96,Good Experience for Interns,"Nov 12, 2021 - Internship",4.0,A lot of projects to do,The company is big and can be overwhelming at first,Be the first to find this review helpful
97,Review,"Oct 26, 2021 - SERVICE ADVISOR in Stoke-on-Trent, England",5.0,Friendly people To work with Good wages,Work pressure from customer’s satisfaction,1 person found this review helpful
98,Happy,"Oct 28, 2021 - Sales Associate in Rickmansworth, England",5.0,Cars and the people I worked with,Being made redundant was my,Be the first to find this review helpful
99,"Good company, Bad Manegers","Nov 10, 2021 - Cost Accountant in Cholula, Puebla",4.0,Benefits. Rental car. Christmas bonus. Profit shares.,Manager very old mind fashion,Be the first to find this review helpful
100,okay,"Oct 12, 2021 - Konstrukteur und Entwicklungsingenieur in Braunschweig",5.0,"Gehalt, Betriebsrente, Sonderzahlungen, Altersteilzeit, 35 Stundenwoche",es gibt zu viele Streber,Be the first to find this review helpful
101,Great company!!,"Oct 5, 2021 - Anonymous Employee",5.0,Excellent international company. Great benefits.,Sometimes work becomes a bit bureaucratic,Be the first to find this review helpful
102,n/a,"Oct 5, 2021 - Designer in Hyderābād",5.0,good better excellent is was,nothing is downside over there,Be the first to find this review helpful
103,Great employer,"Nov 29, 2021 - Mechanical Engineer in Lisbon, Lisbon",4.0,Great employer with great challenges,there are no cons in VW,Be the first to find this review helpful
104,Overall Nice Place to Work,"Oct 29, 2021 - Senior Product Analyst in São Bernardo do Campo",4.0,Nice to learn about corporate and professional relations Great place to build a relevant network Job stability,Bureaucratic and slow decision-making company No meritocracy plan to recognize employees Professional opportunities are not clearly shared Competitive salaries have been decreasing steadily in the last years,Be the first to find this review helpful
105,great people to work with.,"Nov 15, 2021 - Receptionist",4.0,Great people to work with. Great environment.,They overwork their employees and demand a lot for what they compensate.,Be the first to find this review helpful
106,Work shop manager,"Sep 14, 2021 - Workshop Manager in Cairo, Cairo Governorate",5.0,Work with team Response for all work shop,There is no nagtive points,Be the first to find this review helpful
107,Good Experience for Interns,"Nov 12, 2021 - Internship",4.0,A lot of projects to do,The company is big and can be overwhelming at first,Be the first to find this review helpful
108,no,"Nov 18, 2021 - Credit Analyst in Pune",4.0,it is nice company nice reputation,it is not a good managment,Be the first to find this review helpful
109,"Good company, Bad Manegers","Nov 10, 2021 - Cost Accountant in Cholula, Puebla",4.0,Benefits. Rental car. Christmas bonus. Profit shares.,Manager very old mind fashion,Be the first to find this review helpful
110,Excellent community environment,"Sep 16, 2021 - Receptionist",5.0,Great progression. Amazing team and management.,Minimum wage and working weekends,Be the first to find this review helpful
111,Very good,"Sep 18, 2021 - Visual Researcher in Frankfurt am Main",5.0,So good to work here,There is nothing to complain,Be the first to find this review helpful
112,Great fake review,"Sep 13, 2021 - Zero Hour Teller in Munich, Bavaria",5.0,Great place to post okay,None none none none nonee,Be the first to find this review helpful
113,The square root of the number of employees do 50% of the work.,"Aug 7, 2021 - Planer in Braunschweig",3.0,"The company provides many benefits, good salary, has a strong reputation and employment seems to be quite secure. There also seems to be a lot of opportunity across the company's many locations.","Not an international working environment with a very German approach; integration of foreign employees given no consideration; and, support from HR is poor with blunt, useless responses.",Be the first to find this review helpful
114,Fine talent,"Sep 6, 2021 - Senior Officer",5.0,Good place to work Value for your views and opinions,Average salary Responsibility is much,Be the first to find this review helpful
115,Environment,"Sep 6, 2021 - Instrumentation Engineer in Pune",5.0,"Good work culture, Seniors are very helpful",No cons because everything is fantastic,Be the first to find this review helpful
116,Good Experience,"Nov 9, 2021 - Product Manager in Berlin",3.0,"International culture, good people, and interesting industry.","Bureaucracy, corporate culture and slow processes.",Be the first to find this review helpful
117,good work experince NA,"Sep 2, 2021 - Anonymous Employee in Pune",5.0,good work experince N A,location Far from the major pune,Be the first to find this review helpful
118,Social responsible and family friendly,"Apr 8, 2021 - Technical Project Manager (Software Engineering) in Wolfsburg, Lower Saxony",3.0,Remote office work possible. Very family friendly. Most of colleagues in Germany are very good colleagues. Very strong workers' union.,"There are 20% old fashioned macho types which still have the old german mentality (from before 1979) which think women are below them. These discriminating bullies are still around, also destructive people from the old management culture, which brought the company to its knees, and with their attitude they destroy the team spirit and demotivate the surrounding team. When these people are managers, they are there for their own gain; they change the position a lot. Although there are also good ones who care for their employees.",1 person found this review helpful
119,ok,"Aug 23, 2021 - NVH CAE Engineer in São Paulo, São Paulo",5.0,good oportunities nice infrastructure access to development,Salary is difficult to change( have upgrade) and difficult to get a promotion,Be the first to find this review helpful
120,Volkswagen of Freehold,"Oct 7, 2015 - Cashier/Receptionist in Freehold, NJ",1.0,"Work was easy, night shift barely anything to do","Hours, No vacation time, management at the time was awful",Be the first to find this review helpful
121,Compliance,"May 18, 2018 - NONE in Herndon, VA",1.0,Friendly staff and good hours,Completely white male dominated and no upward mobility,1 person found this review helpful
122,dont do it!!!,"Oct 5, 2016 - Sales Representative in Dothan, AL",1.0,can be decent money if you're good at prospecting,LONG HOURS COMPLETELY COMMISSION BASED DISHONEST PRACTICES,Be the first to find this review helpful
123,Great Work Culture & Team,"Mar 14, 2022 - CHIEF MANAGER in Mumbai",5.0,Have experienced a good working culture over there ; Amazing co workers,Honestly there is nothing to comment upon the Cons,Be the first to find this review helpful
124,Ok,"Mar 18, 2022 - Quality Engineer in Bratislava",3.0,"13, 14 salary Green koncern Modern offices Flexible hours at my place","Too many byrocracy, too long Not stable place, racios Too little people, minimum hiring Lots of micromanagement",Be the first to find this review helpful
125,perfect,"Mar 8, 2022 - Graduate Student",5.0,home office is a really good option and flexible work time,too much work at the beginning,Be the first to find this review helpful
126,Great company,"Mar 9, 2022 - Sales Executive in Cardiff, Wales",5.0,good pay and management structure,dont have any cons to talk about,Be the first to find this review helpful
127,"Really nice working environment, topics and young people","Mar 3, 2022 - Werkstudent Data Scientist",5.0,--> Nice working environment --> Very interesting topics & projects,Not really any cons apart from typical paper work at big companies,Be the first to find this review helpful
128,Good working environment with nice team,"Mar 18, 2022 - Senior Analyst in Beijing, Beijing",4.0,"Good work life balance, nice team, many learning opportunities",Slow decision-making process; limited chance for rotation,Be the first to find this review helpful
129,Best employer,"Mar 2, 2022 - Project Manager Systems Verification",5.0,Perfect place to work ever,Nothing much to really highlight,Be the first to find this review helpful
130,good,"Feb 17, 2022 - Anonymous Employee",5.0,good workplace environment and friendly,mandatory unpaid overtime which is not great,Be the first to find this review helpful
131,Owner of Product in company and market,"Mar 7, 2022 - Senior Product Manager in Pune",4.0,"Right processes, optimum opportunity, respect for work and values culture","Lobby inside, disproportionate selective growth,",Be the first to find this review helpful
132,It was good,"Mar 11, 2022 - Product Specialist",4.0,Great product and nice perks,Customers don’t like car sales people,Be the first to find this review helpful
133,Projekt ma,"Mar 10, 2022 - Project Manager",3.0,The company use many additional tools,It have too much hierarchy,Be the first to find this review helpful
134,VG BA,"Feb 10, 2022 - Business Analyst in Bedok New Town,",5.0,High exposures and Good benefits,too tired too tired too tired,Be the first to find this review helpful
135,Supervisor,"Mar 2, 2022 - Supervisor in São Paulo, São Paulo",3.0,Good company lots of opportunity,Too much politics in the company,Be the first to find this review helpful
136,VW Shanghai,"Feb 22, 2022 - Engineer",4.0,"Good work life balance, not very busy","Slow salary increase, slow promotion",Be the first to find this review helpful
137,Assembly planning specialist,"Feb 26, 2022 - Planning Specialist in Bratislava",3.0,"big projects, creative work, flexible worktime",lots of stress and pressure,Be the first to find this review helpful
138,Great place to work,"Jan 15, 2022 - Receptionist",5.0,"Flexible scheduling, great coworkers, brand you can be proud about.",Customers are usually difficult to deal with.,Be the first to find this review helpful
139,Good Company,"Jan 19, 2022 - Anonymous Employee",5.0,"Good culture, people are friendly and polite.","Not very transparent, a lot of pressure",Be the first to find this review helpful
140,VWSA,"Dec 15, 2021 - Senior Team LEader in Port Elizabeth",4.0,good working climate and many perks,"long hours and overtime, structure of global corporation",Be the first to find this review helpful
141,stable and giant company,"Dec 14, 2021 - Logistics Manager in Shanghai, Shanghai",4.0,good pay for the young staff,lack of opportunity to promotion,Be the first to find this review helpful
142,Good,"Dec 12, 2021 - Product Manager in Milton Keynes, England",4.0,Development Opportunities & desirable brand / product,Old fashioned culture & Renumeration,Be the first to find this review helpful
143,good company,"Nov 25, 2021 - Manager in Coventry, England",5.0,"I like this company, good leader.",I dont like the food in the company,Be the first to find this review helpful
144,Senior Manager,"Nov 24, 2021 - Anonymous Employee in Pune",5.0,Good worklife balance and good culture,Bad middle management and delay in decision,Be the first to find this review helpful
145,Enjoyable,"Nov 23, 2021 - Administrative Assistant",5.0,"Professional environment, great work life balance",Nothing that comes to my mind,Be the first to find this review helpful
146,How does it feel like,"Nov 15, 2021 - Supply Chain Manager in Beijing, Beijing",5.0,- good culture - nice people - clear career path,growth in salary is slow,Be the first to find this review helpful
147,Great employer,"Nov 29, 2021 - Mechanical Engineer in Lisbon, Lisbon",4.0,Great employer with great challenges,there are no cons in VW,Be the first to find this review helpful
148,Nice place to wirk,"Nov 26, 2021 - Digital Marketing Manager in Dublin, Dublin",4.0,"Nice team culture, good exposure to a well known brand","Salaries not great, progression only happens to the lucky few",1 person found this review helpful
149,Excellent company,"Nov 14, 2021 - Software Engineer in Pune",5.0,Best company to join anytime,Nothing but expetation to develop new things are high,Be the first to find this review helpful
150,Company that appreciates its employees,"Nov 9, 2021 - Automotive Sales in Sydney",5.0,Good working environment with the-best-value-for-money product,Work on the weekends and holidays,Be the first to find this review helpful
151,Wonderful Company,"Nov 9, 2021 - Intern in Wolfsburg, Lower Saxony",5.0,"Location, Global Company, Colleagues, Work and Transparent recruiting",Nothing to write here. As everything was perfect.,Be the first to find this review helpful
152,Salary,"Nov 9, 2021 - Car Salesman in Kildare",5.0,Good commission and nice cars,Long hours and challenging targets,Be the first to find this review helpful
153,no,"Nov 18, 2021 - Credit Analyst in Pune",4.0,it is nice company nice reputation,it is not a good managment,Be the first to find this review helpful
154,Great Opportunity!,"Nov 1, 2021 - Internship in Taipei",5.0,Learn a lot from an international company's views. project planning hr operation,a little bit too stressful,Be the first to find this review helpful
155,great people to work with.,"Nov 15, 2021 - Receptionist",4.0,Great people to work with. Great environment.,They overwork their employees and demand a lot for what they compensate.,Be the first to find this review helpful
156,Good Experience for Interns,"Nov 12, 2021 - Internship",4.0,A lot of projects to do,The company is big and can be overwhelming at first,Be the first to find this review helpful
157,Review,"Oct 26, 2021 - SERVICE ADVISOR in Stoke-on-Trent, England",5.0,Friendly people To work with Good wages,Work pressure from customer’s satisfaction,1 person found this review helpful
158,Happy,"Oct 28, 2021 - Sales Associate in Rickmansworth, England",5.0,Cars and the people I worked with,Being made redundant was my,Be the first to find this review helpful
159,"Good company, Bad Manegers","Nov 10, 2021 - Cost Accountant in Cholula, Puebla",4.0,Benefits. Rental car. Christmas bonus. Profit shares.,Manager very old mind fashion,Be the first to find this review helpful
160,okay,"Oct 12, 2021 - Konstrukteur und Entwicklungsingenieur in Braunschweig",5.0,"Gehalt, Betriebsrente, Sonderzahlungen, Altersteilzeit, 35 Stundenwoche",es gibt zu viele Streber,Be the first to find this review helpful
161,Great company!!,"Oct 5, 2021 - Anonymous Employee",5.0,Excellent international company. Great benefits.,Sometimes work becomes a bit bureaucratic,Be the first to find this review helpful
162,n/a,"Oct 5, 2021 - Designer in Hyderābād",5.0,good better excellent is was,nothing is downside over there,Be the first to find this review helpful
163,Great employer,"Nov 29, 2021 - Mechanical Engineer in Lisbon, Lisbon",4.0,Great employer with great challenges,there are no cons in VW,Be the first to find this review helpful
164,Overall Nice Place to Work,"Oct 29, 2021 - Senior Product Analyst in São Bernardo do Campo",4.0,Nice to learn about corporate and professional relations Great place to build a relevant network Job stability,Bureaucratic and slow decision-making company No meritocracy plan to recognize employees Professional opportunities are not clearly shared Competitive salaries have been decreasing steadily in the last years,Be the first to find this review helpful
165,great people to work with.,"Nov 15, 2021 - Receptionist",4.0,Great people to work with. Great environment.,They overwork their employees and demand a lot for what they compensate.,Be the first to find this review helpful
